"airport","date","maxTemp","minTemp","precipitation","cloudCover","conditions","humidity","wind","snow","rain","conditions1","conditions2","conditions3"
"PDX",2016-12-01,47,39,0.02,7,"Rain",85,9,0,0.02,"Rain",NA,NA
"PDX",2016-12-02,48,44,0.08,8,"Rain",85,14,0,0.08,"Rain",NA,NA
"PDX",2016-12-03,52,42,0.14,7,"Rain",86,16,0,0.14,"Rain",NA,NA
"PDX",2016-12-04,48,34,0.54,7,"Rain",77,17,0,0.54,"Rain",NA,NA
"PDX",2016-12-05,39,35,0.25,8,"Rain",89,20,0,0.25,"Rain","Snow",NA
"PDX",2016-12-06,45,29,0.001,5,"Rain",75,13,0,0.001,"Rain",NA,NA
"PDX",2016-12-07,40,27,0,6,"Partly Cloudly",74,33,0,0,"Partly Cloudly",NA,NA
"PDX",2016-12-08,34,30,0.15,8,"Snow",63,38,0,0.15,"Fog","Rain","Snow"
"PDX",2016-12-09,33,32,0.7,8,"Rain",85,23,0,0.7,"Rain",NA,NA
"PDX",2016-12-10,44,32,0.24,7,"Rain",89,20,0,0.24,"Rain",NA,NA
"PDX",2016-12-11,47,41,0.41,7,"Rain",80,17,0,0.41,"Rain",NA,NA
"PDX",2016-12-12,47,38,0.02,7,"Fog",88,12,0,0.02,"Fog","Rain",NA
"PDX",2016-12-13,41,34,0,6,"Partly Cloudly",78,23,0,0,"Partly Cloudly",NA,NA
"PDX",2016-12-14,35,27,0.05,8,"Snow",61,33,0.05,0,"Snow",NA,NA
"PDX",2016-12-15,33,25,0.01,8,"Snow",71,16,0.01,0,"Snow",NA,NA
"PDX",2016-12-16,38,25,0,6,"Partly Cloudly",80,15,0,0,"Partly Cloudly",NA,NA
"PDX",2016-12-17,35,27,0.001,7,"Snow",78,15,0.001,0,"Snow",NA,NA
"PDX",2016-12-18,38,27,0,7,"Mostly Cloudly",85,14,0,0,"Mostly Cloudly",NA,NA
"PDX",2016-12-19,48,30,0.84,8,"Snow",88,17,0,0.84,"Rain","Snow",NA
"PDX",2016-12-20,52,35,0.47,7,"Rain",80,22,0,0.47,"Rain",NA,NA
"PDX",2016-12-21,38,30,0,6,"Fog",96,10,0,0,"Fog",NA,NA
"PDX",2016-12-22,46,30,0.02,7,"Rain",79,12,0,0.02,"Rain",NA,NA
"PDX",2016-12-23,45,32,0.19,7,"Rain",85,20,0,0.19,"Rain",NA,NA
"PDX",2016-12-24,41,27,0.001,6,"Fog",90,8,0,0,"Fog",NA,NA
"PDX",2016-12-25,44,32,0,7,"Mostly Cloudly",83,12,0,0,"Mostly Cloudly",NA,NA
"PDX",2016-12-26,40,27,0.21,7,"Rain",85,16,0,0.21,"Rain",NA,NA
"PDX",2016-12-27,47,36,0.11,6,"Rain",86,26,0,0.11,"Rain",NA,NA
"PDX",2016-12-28,42,35,0.001,6,"Fog",93,12,0,0,"Fog",NA,NA
"PDX",2016-12-29,42,33,0.06,7,"Fog",84,17,0,0.06,"Fog","Rain",NA
"PDX",2016-12-30,44,31,0.01,5,"Rain",85,13,0,0.01,"Rain",NA,NA
"PDX",2016-12-31,37,32,0.09,8,"Rain",91,15,0,0.09,"Rain","Snow",NA
"PDX",2017-01-01,39,32,0.04,6,"Snow",87,16,0,0.04,"Rain","Snow",NA
"PDX",2017-01-02,35,28,0,6,"Partly Cloudly",57,28,0,0,"Partly Cloudly",NA,NA
"PDX",2017-01-03,34,27,0,1,"Clear",48,30,0,0,"Clear",NA,NA
"PDX",2017-01-04,33,27,0,4,"Scattered Clouds",39,33,0,0,"Scattered Clouds",NA,NA
"PDX",2017-01-05,35,17,0,0,"Clear",53,15,0,0,"Clear",NA,NA
"PDX",2017-01-06,34,17,0,1,"Clear",61,20,0,0,"Clear",NA,NA
"PDX",2017-01-07,30,24,0.02,8,"Rain",64,36,0,0.02,"Rain","Snow",NA
"PDX",2017-01-08,34,28,0.53,8,"Rain",81,32,0,0.53,"Rain",NA,NA
"PDX",2017-01-09,41,30,0.28,8,"Rain",93,17,0,0.28,"Rain","Snow",NA
"PDX",2017-01-10,38,31,0.65,8,"Snow",82,28,0,0.65,"Rain","Snow",NA
"PDX",2017-01-11,32,26,0.07,8,"Snow",83,24,0.07,0,"Snow",NA,NA
"PDX",2017-01-12,33,18,0,3,"Scattered Clouds",74,13,0,0,"Scattered Clouds",NA,NA
"PDX",2017-01-13,29,11,0,5,"Fog",81,17,0,0,"Fog",NA,NA
"PDX",2017-01-14,29,19,0,1,"Clear",71,23,0,0,"Clear",NA,NA
"PDX",2017-01-15,28,19,0,3,"Scattered Clouds",74,18,0,0,"Scattered Clouds",NA,NA
"PDX",2017-01-16,29,22,0,6,"Partly Cloudly",63,22,0,0,"Partly Cloudly",NA,NA
"PDX",2017-01-17,44,24,0.38,8,"Snow",78,32,0,0.38,"Rain","Snow",NA
"PDX",2017-01-18,37,33,0.98,8,"Rain",95,30,0,0.98,"Rain",NA,NA
"PDX",2017-01-19,52,35,0.001,6,"Partly Cloudly",82,23,0,0,"Partly Cloudly",NA,NA
"PDX",2017-01-20,42,37,0.09,8,"Rain",90,20,0,0.09,"Rain",NA,NA
"PDX",2017-01-21,47,37,0.32,7,"Rain",88,22,0,0.32,"Rain",NA,NA
"PDX",2017-01-22,46,36,0.15,7,"Rain",85,23,0,0.15,"Rain",NA,NA
"PDX",2017-01-23,50,33,0.001,5,"Partly Cloudly",79,15,0,0,"Partly Cloudly",NA,NA
"PDX",2017-01-24,41,26,0,5,"Rain",90,8,0,0,"Fog","Rain",NA
"PDX",2017-01-25,45,35,0.01,8,"Rain",91,7,0,0.01,"Rain",NA,NA
"PDX",2017-01-26,48,38,0.001,6,"Rain",88,8,0,0.001,"Rain",NA,NA
"PDX",2017-01-27,48,29,0,4,"Fog",80,15,0,0,"Fog",NA,NA
"PDX",2017-01-28,44,31,0,6,"Partly Cloudly",73,16,0,0,"Partly Cloudly",NA,NA
"PDX",2017-01-29,46,33,0.001,8,"Rain",70,17,0,0.001,"Rain",NA,NA
"PDX",2017-01-30,44,35,0.001,8,"Mostly Cloudly",91,10,0,0,"Mostly Cloudly",NA,NA
"PDX",2017-01-31,41,36,0.01,6,"Rain",81,13,0,0.01,"Rain",NA,NA
"PDX",2017-02-01,41,35,0,6,"Partly Cloudly",43,38,0,0,"Partly Cloudly",NA,NA
"PDX",2017-02-02,39,34,0.001,7,"Mostly Cloudly",33,40,0,0,"Mostly Cloudly",NA,NA
