"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"1",2016-09-19,"Monday",600,533,0,150,NA,750,217,-60,87,135,67,51,"Overcast",0,0,73,4,"Fall","0","9",165,127.666666666667,135,74.0625,75.5,62.25,95,135,0.227327090068178,0.395626922467356,0.158465335266959,-0.905333050603289,-0.0776222793814696,-0.461882439916727,0.919392322287477,0.129954182512164,0.221347509669838,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,126
"2",2016-09-20,"Tuesday",615,602,0,180,NA,795,193,-90,84,120,72,49,"Overcast",0,0,64,5,"Fall","0","9",165,127.666666666667,135,69.1875,79.5,59.5,91,120,0.52764477840374,0.211692990240312,-0.569922914907844,-0.657180610114186,-0.0776222793814696,-0.461882439916727,0.919392322287477,0.129954182512164,0.221347509669838,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,122
"3",2016-09-21,"Wednesday",675,623,0,210,NA,885,262,-180,86,128,74,51,"Overcast",0,0,61,4,"Fall","0","9",165,127.666666666667,120,65.6875,72,22.5,105,128,0.647771853737964,0.395626922467356,-0.812718998299445,-0.905333050603289,-0.0776222793814696,-0.461882439916727,0.919392322287477,0.129954182512164,-0.000614960957582384,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,125
"4",2016-09-22,"Thursday",757,625,0,150,NA,907,282,-195,112,142,66,47,"Overcast",0,0,75,2,"Fall","0","9",165,127.666666666667,128,73.7333333333333,97,0,120.5,157,0.167263552401066,0.027759058013268,0.320329390861359,-1.40163793158149,-0.0776222793814696,-0.461882439916727,0.919392322287477,0.129954182512164,0.117765023377042,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,142
"5",2016-09-23,"Friday",765,597,0,0,NA,765,168,-75,164,192,62,51,"Rain",0.04,0,77,7,"Fall","0","9",165,130,142,126.9375,148.5,48,196.5,270,-0.0729905982673832,0.395626922467356,0.48219344645576,-0.16087572913598,-0.0776222793814696,-0.311058836729932,0.919392322287477,0.171386398514799,0.324929995962634,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,191
"6",2016-09-24,"Saturday",573,519,0,150,NA,723,204,-90,156,238,70,52,"Fog",0,0,66,3,"Fall","0","9",165,154,192,146.9375,166.5,128,188.5,238,0.407517703069515,0.487593888580878,-0.408058859313443,-1.15348549109239,-0.0776222793814696,-0.461882439916727,0.919392322287477,0.597546334541911,1.06480489805403,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,213
"7",2016-09-25,"Sunday",485,475,0,75,NA,560,85,75,106,200,83,50,"Overcast",0,0,63,4,"Fall","0","9",165,190.666666666667,238,99,98.5,80,120,200,1.18834369274197,0.303659956353834,-0.650854942705044,-0.905333050603289,-0.0776222793814696,-0.461882439916727,0.919392322287477,1.24862401458333,1.74548980797812,-0.399700851807617,-0.475124372303095,-0.259915604414803,-0.480910643453644,0.202912965835253,178
"8",2016-09-26,"Monday",360,533,180,210,NA,570,37,120,87,115,89,55,"Overcast",0,0,57,6,"Fall","0","9",165,210,200,74.0625,75.5,62.25,95,135,1.54872491874465,0.763494786921444,-1.13644710948825,-0.409028169625083,-0.0776222793814696,-0.461882439916727,0.919392322287477,1.59191951860517,1.18318488238866,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,119
"9",2016-09-27,"Tuesday",455,602,150,210,NA,665,63,45,84,110,74,59,"Overcast",0,0,67,8,"Fall","0","9",162.142857142857,184.333333333333,115,69.1875,79.5,59.5,91,120,0.647771853737964,1.13136265137553,-0.327126831516243,0.0872767113531228,-0.0776222793814696,-0.461882439916727,0.858881685910826,1.13616514257618,-0.0746024511667224,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,114
"10",2016-09-28,"Wednesday",555,623,75,180,NA,735,112,-30,86,120,75,50,"Overcast",0,0,56,5,"Fall","0","9",160.714285714286,141.666666666667,110,65.6875,72,22.5,105,128,0.707835391405076,0.303659956353834,-1.21737913728545,-0.657180610114186,-0.0776222793814696,-0.461882439916727,0.8286263677225,0.378547478527978,-0.148589941375862,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,122
"11",2016-09-29,"Thursday",615,625,15,180,NA,795,170,-90,112,157,70,53,"Overcast",0,0,57,5,"Fall","0","9",159.571428571429,115,120,73.7333333333333,97,0,120.5,157,0.407517703069515,0.5795608546944,-1.13644710948825,-0.657180610114186,-0.0776222793814696,-0.461882439916727,0.80442211317184,-0.0949635615021452,-0.000614960957582384,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,148
"12",2016-09-30,"Friday",638,597,0,105,NA,743,146,-60,164,270,70,45,"Mostly Cloudy",0,0,69,6,"Fall","0","9",161.714285714286,129,157,126.9375,148.5,48,196.5,270,0.407517703069515,-0.156174874213776,-0.165262775921842,-0.409028169625083,-0.0776222793814696,-0.461882439916727,0.849805090454329,0.15362973451367,0.546892466590054,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,229
"13",2016-10-01,"Saturday",473,519,45,150,NA,623,104,15,156,153,64,52,"Rain",0.12,0,73,10,"Fall","0","10",172.857142857143,182.333333333333,270,146.9375,166.5,128,188.5,238,0.0471364770668413,0.487593888580878,0.158465335266959,0.583581592331329,-0.0776222793814696,-0.00941163035634137,1.08579657232327,1.10065181457392,2.21900974531662,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,168
