"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"1",2016-09-19,"Monday",600,533,0,150,NA,750,217,-60,87,135,67,51,"Overcast",0,0,73,4,"Fall","0","9",165,127.666666666667,135,106,115,78,135,150,0.227327090068178,0.395626922467356,0.158972185967638,-0.905333050603289,-0.0776222793814696,-0.461882439916727,0.914737886090315,0.0648041839572804,0.172586517924896,-0.323452509045456,-0.194607602037573,-0.542513985681945,-0.136083783538263,-0.153653620520632,129
"2",2016-09-20,"Tuesday",615,602,0,180,NA,795,193,-90,84,120,72,49,"Overcast",0,0,64,5,"Fall","0","9",165,127.666666666667,135,93.8,110,94,120,130,0.52764477840374,0.211692990240312,-0.569792019490963,-0.657180610114186,-0.0776222793814696,-0.461882439916727,0.914737886090315,0.0648041839572804,0.172586517924896,-0.542121314895896,-0.283724785182183,-0.256408463548836,-0.394311997341258,-0.483467870764916,119
"3",2016-09-21,"Wednesday",675,623,0,210,NA,885,262,-180,86,128,74,51,"Overcast",0,0,61,4,"Fall","0","9",165,127.666666666667,120,111.4,120,106,120,128,0.647771853737964,0.395626922467356,-0.812713421310497,-0.905333050603289,-0.0776222793814696,-0.461882439916727,0.914737886090315,0.0648041839572804,-0.0588178109437439,-0.22666467694772,-0.105490418892963,-0.0418293219490047,-0.394311997341258,-0.516449295789345,125
"4",2016-09-22,"Thursday",757,625,0,150,NA,907,282,-195,112,142,66,47,"Overcast",0,0,75,2,"Fall","0","9",165,127.666666666667,128,136,142,135,147,157,0.167263552401066,0.027759058013268,0.320919787180661,-1.40163793158149,-0.0776222793814696,-0.461882439916727,0.914737886090315,0.0648041839572804,0.0645978311195307,0.214257669275298,0.286625186943319,0.476736936917255,0.0704987875041338,-0.0382186329351319,139
"5",2016-09-23,"Friday",765,597,0,0,NA,765,168,-75,164,192,62,51,"Rain",0.04,0,77,7,"Fall","0","9",165,130,142,170.666666666667,192.5,173.25,199.75,270,-0.0729905982673832,0.395626922467356,0.482867388393683,-0.16087572913598,-0.0776222793814696,-0.311058836729932,0.914737886090315,0.108826791856941,0.280575204730261,0.835611653112613,1.18670873670388,1.16070795076672,0.978601339378002,1.82523188094508,186
"6",2016-09-24,"Saturday",573,519,0,150,NA,723,204,-90,156,238,70,52,"Fog",0,0,66,3,"Fall","0","9",165,154,192,206.2,198,191,223,238,0.407517703069515,0.487593888580878,-0.40784441827794,-1.15348549109239,-0.0776222793814696,-0.461882439916727,0.914737886090315,0.561630758824876,1.05192296762573,1.47249948654586,1.28473763816295,1.47810626438314,1.37885507077265,1.29752908055422,222
"7",2016-09-25,"Sunday",485,475,0,75,NA,560,85,75,106,200,83,50,"Overcast",0,0,63,4,"Fall","0","9",165,190.666666666667,238,147.8,145,117,177,200,1.18834369274197,0.303659956353834,-0.650765820097474,-0.905333050603289,-0.0776222793814696,-0.461882439916727,0.914737886090315,1.25341459724811,1.76156290948956,0.425757006081461,0.340095496830085,0.154868224517508,0.586955215110125,0.67088200509008,180
"8",2016-09-26,"Monday",360,533,180,210,NA,570,37,120,87,115,89,55,"Overcast",0,0,57,6,"Fall","0","9",165,210,200,106,115,78,135,150,1.54872491874465,0.763494786921444,-1.13660862373654,-0.409028169625083,-0.0776222793814696,-0.461882439916727,0.914737886090315,1.61817334841673,1.175338609689,-0.323452509045456,-0.194607602037573,-0.542513985681945,-0.136083783538263,-0.153653620520632,117
"9",2016-09-27,"Tuesday",455,602,150,210,NA,665,63,45,84,110,74,59,"Overcast",0,0,67,8,"Fall","0","9",162.142857142857,184.333333333333,115,93.8,110,94,120,130,0.647771853737964,1.13136265137553,-0.326870617671429,0.0872767113531228,-0.0776222793814696,-0.461882439916727,0.849593358355872,1.13392466152046,-0.13595258723329,-0.542121314895896,-0.283724785182183,-0.256408463548836,-0.394311997341258,-0.483467870764916,113
"10",2016-09-28,"Wednesday",555,623,75,180,NA,735,112,-30,86,120,75,50,"Overcast",0,0,56,5,"Fall","0","9",160.714285714286,141.666666666667,110,111.4,120,106,120,128,0.707835391405076,0.303659956353834,-1.21758242434305,-0.657180610114186,-0.0776222793814696,-0.461882439916727,0.81702109448865,0.328939831355242,-0.213087363522837,-0.22666467694772,-0.105490418892963,-0.0418293219490047,-0.394311997341258,-0.516449295789345,122
