"day","temp_max","temp_avg","temp_min","dew_high","dew_avg","dew_low","humidity_high","humidity_avg","humidity_low","pressure_high","pressure_avg","pressure_low","visibility_high","visibility_avg","visibility_low","wind_high","wind_avg","wind_dir","precipitation","conditions","month","year","date","snow","rain","conditions1","conditions2","conditions3"
1,47,43,39,42,40,38,93,85,76,30.4,30.35,30.26,10,10,10,9,5,10,0.02,"Rain",12,2016,2016-12-01,0,0.02,"Rain",NA,NA
2,48,46,44,44,42,40,93,85,76,30.41,30.33,30.23,10,9,5,14,6,19,0.08,"Rain",12,2016,2016-12-02,0,0.08,"Rain",NA,NA
3,52,47,42,45,44,42,100,86,71,30.41,30.33,30.17,10,10,7,16,6,21,0.14,"Rain",12,2016,2016-12-03,0,0.14,"Rain",NA,NA
4,48,41,34,44,38,32,93,77,60,30.26,30.14,30.05,10,9,5,17,6,22,0.54,"Rain",12,2016,2016-12-04,0,0.54,"Rain",NA,NA
5,39,37,35,35,34,33,92,89,85,30.26,30.12,30.02,10,9,3,20,7,23,0.25,"Rain",12,2016,2016-12-05,0,0.25,"Rain","Snow",NA
6,45,37,29,35,32,27,92,75,58,30.35,30.15,30.01,10,10,8,13,4,16,0.001,"Rain",12,2016,2016-12-06,0,0.001,"Rain",NA,NA
7,40,34,27,31,26,17,100,74,48,30.39,30.33,30.17,10,5,0,33,15,41,0,"Partly Cloudly",12,2016,2016-12-07,0,0,"Partly Cloudly",NA,NA
8,34,32,30,27,23,16,78,63,47,30.15,29.96,29.88,10,6,0,38,26,49,0.15,"Snow",12,2016,2016-12-08,0,0.15,"Fog","Rain","Snow"
9,33,33,32,31,29,27,92,85,78,30.08,30.01,29.89,10,5,1,23,13,26,0.7,"Rain",12,2016,2016-12-09,0,0.7,"Rain",NA,NA
10,44,38,32,43,34,29,92,89,85,30.03,29.96,29.91,10,9,4,20,8,24,0.24,"Rain",12,2016,2016-12-10,0,0.24,"Rain",NA,NA
11,47,44,41,42,39,37,89,80,71,30.06,30.03,29.99,10,9,5,17,7,24,0.41,"Rain",12,2016,2016-12-11,0,0.41,"Rain",NA,NA
12,47,43,38,41,38,36,100,88,76,30.26,30.22,30.06,10,10,7,12,4,14,0.02,"Rain",12,2016,2016-12-12,0,0.02,"Fog","Rain",NA
13,41,38,34,37,32,21,100,78,56,30.26,30.23,30.19,10,7,0,23,8,29,0,"Mostly Cloudly",12,2016,2016-12-13,0,0,"Mostly Cloudly",NA,NA
14,35,31,27,23,19,14,78,61,43,30.19,29.95,29.83,10,6,1,33,23,42,0.05,"Snow",12,2016,2016-12-14,0.05,0,"Snow",NA,NA
15,33,29,25,25,23,21,78,71,63,29.95,29.91,29.88,10,9,3,16,5,19,0.01,"Snow",12,2016,2016-12-15,0.01,0,"Snow",NA,NA
16,38,32,25,28,25,21,100,80,59,30.33,30.08,29.89,10,7,0,15,5,18,0,"Mostly Cloudly",12,2016,2016-12-16,0,0,"Mostly Cloudly",NA,NA
17,35,31,27,29,25,21,92,78,64,30.57,30.46,30.34,10,9,5,15,6,17,0.001,"Snow",12,2016,2016-12-17,0.001,0,"Snow",NA,NA
18,38,33,27,29,27,24,100,85,70,30.58,30.52,30.4,10,9,4,14,5,17,0,"Overcast",12,2016,2016-12-18,0,0,"Overcast",NA,NA
19,48,39,30,42,36,27,100,88,76,30.38,30.28,30.1,10,8,3,17,9,23,0.84,"Rain",12,2016,2016-12-19,0,0.84,"Rain","Snow",NA
20,52,44,35,48,41,33,100,80,59,30.54,30.32,30.06,10,9,3,22,8,31,0.47,"Rain",12,2016,2016-12-20,0,0.47,"Rain",NA,NA
21,38,34,30,35,32,28,100,96,92,30.54,30.35,30.16,10,2,0,10,3,12,0,"Fog",12,2016,2016-12-21,0,0,"Fog",NA,NA
22,46,38,30,44,32,28,100,79,57,30.12,29.94,29.69,10,9,2,12,3,14,0.02,"Rain",12,2016,2016-12-22,0,0.02,"Rain",NA,NA
23,45,39,32,39,37,34,100,85,70,29.84,29.68,29.53,10,8,3,20,6,24,0.19,"Rain",12,2016,2016-12-23,0,0.19,"Rain",NA,NA
24,41,34,27,37,32,27,100,90,79,30.03,29.95,29.85,10,4,0,8,2,10,0.001,"Fog",12,2016,2016-12-24,0,0,"Fog",NA,NA
25,44,38,32,36,33,29,100,83,65,30.25,30.11,30.03,10,7,0,12,4,14,0,"Mostly Cloudly",12,2016,2016-12-25,0,0,"Mostly Cloudly",NA,NA
26,40,34,27,35,31,26,100,85,70,30.33,30.25,30.1,10,9,7,16,6,22,0.21,"Rain",12,2016,2016-12-26,0,0.21,"Rain",NA,NA
27,47,42,36,40,38,35,100,86,71,30.38,30.17,30.04,10,10,5,26,6,35,0.11,"Rain",12,2016,2016-12-27,0,0.11,"Rain",NA,NA
28,42,39,35,38,37,35,100,93,86,30.52,30.45,30.32,10,5,0,12,4,14,0.001,"Fog",12,2016,2016-12-28,0,0,"Fog",NA,NA
